open_time,open,high,low,close,volume
1687132800000,26273.14,26987.59,26191.26,26773.52,52925.65684
1687219200000,26774.17,28327.0,26587.07,28223.0,77300.99159
1687305600000,28224.73,30798.0,28173.61,29984.05,120694.41774
1687392000000,29984.29,30499.0,29529.0,29907.99,74424.40464
1687478400000,29907.87,31416.7,29820.0,30717.8,106802.46088
1687564800000,30717.81,30829.75,30280.91,30557.23,51389.8895
1687651200000,30559.12,31067.92,30303.67,30495.68,56998.66685
1687737600000,30495.94,30690.53,29958.67,30297.1,80670.36174
1687824000000,30295.76,31026.0,30255.23,30722.64,80347.09547
1687910400000,30722.64,30743.34,29888.19,30117.88,53737.0026
1687996800000,30117.68,30866.66,30084.48,30494.14,30376.55117
1688083200000,30494.15,31317.47,29582.35,30509.22,70473.96976
1688169600000,30509.26,30699.1,30354.26,30622.24,25587.34886
1688256000000,30622.23,30825.0,30200.0,30649.64,35139.75545
1688342400000,30649.64,31382.71,30582.23,31156.21,53003.90266
1688428800000,31158.39,31326.0,30618.91,30771.01,42948.24952
1688515200000,30771.03,30876.02,30195.23,30495.66,45229.39142
1688601600000,30495.96,31515.83,29846.6,29893.79,85219.91709
1688688000000,29897.87,30450.0,29696.88,30343.51,48579.54696
1688774400000,30343.53,30389.12,30051.0,30287.59,24562.41519
1688860800000,30287.64,30454.87,30080.0,30180.0,30192.63642
1688947200000,30180.81,31066.43,29956.6,30426.47,60874.22134
1689033600000,30427.82,30828.3,30321.35,30635.51,52363.51777
1689120000000,30635.46,30993.83,30229.25,30401.17,64287.57533
1689206400000,30401.02,31810.7,30269.48,31465.94,80776.07371
1689292800000,31465.03,31639.35,29926.11,30338.13,66778.71123
1689379200000,30338.23,30410.9,30257.59,30313.0,21370.87261
1689465600000,30313.05,30456.0,30082.62,30253.47,27044.83986
1689552000000,30253.48,30358.04,29677.41,30156.55,47313.00516
1689638400000,30156.55,30256.29,29535.0,29866.61,48346.46494
1689724800000,29867.71,30196.29,29762.5,29915.62,47595.74649
1689811200000,29915.63,30420.0,29583.85,29818.94,53470.51118
1689897600000,29818.92,30081.95,29736.02,29913.09,38655.97552
1689984000000,29913.55,30019.05,29647.05,29806.18,24534.38996
1690070400000,29805.7,30359.0,29744.78,30087.55,36659.89433
1690156800000,30087.56,30107.42,28880.08,29197.12,65204.26091
1690243200000,29195.39,29390.0,29063.1,29244.62,39833.26476
1690329600000,29244.65,29702.82,29108.84,29373.99,56097.74695
1690416000000,29374.0,29593.0,29104.83,29246.79,54467.05168
1690502400000,29246.66,29568.2,29152.0,29341.14,61946.43459
1690588800000,29340.9,29433.2,29280.0,29382.37,28532.59224
1690675200000,29382.35,29490.0,29086.2,29333.85,40804.81688
1690761600000,29333.45,29578.78,29151.34,29275.44,72725.2713
1690848000000,29276.37,29722.42,28582.0,29689.52,102152.46038
1690934400000,29690.66,30005.0,28913.42,29164.0,95913.24461
1691020800000,29164.0,29394.29,28939.39,29162.31,72631.40878
1691107200000,29162.15,29293.95,28771.53,29082.59,65101.65261
1691193600000,29082.04,29126.15,28944.76,29041.94,22942.32905
1691280000000,29041.94,29197.37,28982.98,29077.47,23690.10181
1691366400000,29077.47,29273.82,28688.93,29202.45,61529.45217
1691452800000,29202.45,30199.0,29130.52,29748.57,80428.95006
1691539200000,29748.57,30133.67,29368.88,29580.0,75227.64759
1691625600000,29580.01,29736.13,29330.0,29456.28,55816.33577
1691712000000,29456.28,29562.61,29248.67,29425.38,45892.42126
1691798400000,29425.38,29480.33,29373.01,29429.08,19278.45842
1691884800000,29429.06,29486.84,29287.75,29320.89,24977.97456
1691971200000,29320.27,29719.56,29116.84,29450.35,73378.99019
1692057600000,29450.32,29503.0,29077.0,29204.66,57339.29651
1692144000000,29203.26,29266.66,28716.7,28732.03,54048.2793
1692230400000,28730.52,28787.49,25066.11,26660.42,107017.63319
1692316800000,26660.05,26866.0,25627.96,26071.48,103166.60358
1692403200000,26071.48,26288.81,25808.0,26106.7,45512.20596
1692489600000,26106.7,26300.0,25972.08,26191.44,35056.07805
1692576000000,26191.44,26264.28,25807.2,26130.17,69660.42477
1692662400000,26131.61,26147.3,25350.0,26065.93,70572.98817
1692748800000,26065.93,26835.69,25824.0,26441.68,71265.83477
1692835200000,26443.52,26587.54,25868.0,26188.8,52763.03113
1692921600000,26187.0,26328.0,25792.0,26072.81,54496.65725
1693008000000,26072.81,26138.1,25995.3,26028.71,15376.176
1693094400000,26028.71,26196.29,25978.23,26110.76,19139.28817
1693180800000,26110.76,26270.84,25881.45,26130.49,47210.7938
1693267200000,26129.9,28161.36,25935.07,27727.65,112214.91099
1693353600000,27727.65,27785.2,27037.0,27330.0,70257.46709
1693440000000,27330.64,27616.58,25707.51,25983.88,77152.04515
1693526400000,25984.01,26214.56,25388.41,25858.6,69730.64203
1693612800000,25858.97,26030.86,25804.06,25909.0,27453.95406
